model_id,direct_run1_ms,direct_run2_ms,direct_run3_ms,direct_mean_ms,direct_std_ms,ncu_run1_ms,ncu_run2_ms,ncu_run3_ms,ncu_mean_ms,ncu_std_ms,overhead_ms,overhead_percent
gpt2_layer6_embd1024_ffn4096_head16_pos512_max2_batch4_prompt1,4284.24292908,4290.1708340800005,4272.00351408,4282.139092413334,9.264581778775336,122502.59190787999,123034.10856587999,122543.84840687999,122693.51629354667,295.68200259285703,118411.377201133336,2765.00
gpt2_layer8_embd3072_ffn12288_head48_pos1024_max2_batch4_prompt1,4680.32243672,4678.872017720001,4671.53259272,4676.909015720001,4.712257635686678,138736.48488218,139918.58837218,139547.45567718,139400.84297718,604.5358782723441,134723.933961459999,2880.00
llama_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,4489.553846840001,4479.32977684,4472.55194584,4480.478523173333,8.558964482179737,159098.20626409998,156849.42735209997,160315.4262271,158754.3532811,1758.3979088402637,154273.874757926667,3443.00
llama_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,6029.39661698,6156.42306298,5643.33713298,5943.05227098,267.21864166935836,189764.39963142,191610.87354241998,192831.62667342002,191402.29994908668,1544.2142466869748,185459.24767810668,3120.00
qwen_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,4530.379597440001,4563.65738544,4537.432296440001,4543.823093106667,17.53523609961481,154353.78511978002,158292.82167478002,155196.00315078,155947.5366484467,2074.271967219559,151403.713555340033,3332.00
qwen_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,9470.67253822,7873.72509422,8864.77594522,8736.391192553332,806.177566211374,233005.09496766,221772.43118866,226804.83270866,227194.11962166,5626.441336981083,218457.728429106668,2500.00
