model_id,direct_run1_ms,direct_run2_ms,direct_run3_ms,direct_mean_ms,direct_std_ms,ncu_run1_ms,ncu_run2_ms,ncu_run3_ms,ncu_mean_ms,ncu_std_ms,overhead_ms,overhead_percent
gpt2_layer6_embd1024_ffn4096_head16_pos512_max2_batch4_prompt1,10275.36094902,10148.85953902,10467.014198019999,10297.078228686667,160.18528939307012,17218.76410542,17193.44496542,17168.73802942,17193.649033420003,25.013662322836037,6896.570804733336,66.00
gpt2_layer8_embd3072_ffn12288_head48_pos1024_max2_batch4_prompt1,13209.560272499999,12758.308294499999,12748.155693499999,12905.341420166664,263.510154288263,21554.4272301,21579.0475091,20345.097583100003,21159.52410743333,705.421478399802,8254.182687266666,63.00
llama_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,10508.54315538,10573.66249538,10705.24530938,10595.816986713335,100.2050420973866,19942.291004199997,18699.563908199998,18699.322397199998,19113.725769866665,717.5585517860396,8517.908783153330,80.00
llama_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,16058.74746288,15717.90345888,16211.554877879998,15996.06859988,252.72398139157139,26861.33996762,26754.78975362,26721.117290619997,26779.082337286665,73.19970629833892,10783.013737406665,67.00
qwen_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,11126.92190458,11330.51737658,11248.601315580001,11235.346865579999,102.44285913780216,20469.65936414,19278.484866140003,20509.22776514,20085.79066514,699.4271973648828,8850.443799560001,78.00
qwen_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,18246.44716728,19105.89838628,18445.57709628,18599.30754994667,449.87652611418366,29160.559474100002,28088.3603841,27808.127796099998,28352.3492181,713.8175111833451,9753.04166815333,52.00
